Table S1: Emission Ratios for the Firelab FL16 Data Set ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuel type,Fuel component,santene,santolina triene,MT isomer,tricyclene,à-thujene,a-pinene,a-fenchene,camphene,MT isomer,MT isomer,MT isomer,MT isomer,MT isomer,MT isomer,sabinene,b-pinene,artemiseole,MT isomer,MT isomer,b-myrcene,MT isomer,a-phellandrene,MT isomer,3-carene,a-terpinene,p-cymene,D-limonene,b-phellandrene,eucalyptol,MT isomer,á-ocimene,á-ocimene_2,C-terpinene,"sabinene hydrate, cis",cis-linalool oxide,MT isomer,MT isomer,terpinolene,trans-linalool oxide,L-fenchone,linalool,à-campholenal,neo-allo-cimene,"limonene oxide, trans-",(+)-nopinone,allocimene,L-pinocarveol,methyl santolinate,L-camphor,pinocarvone,endo-borneol,terpinen-4-ol,terpineol,estragole,myrtenal,myrtenol,fenchyl acetate,cis-chrysanthenol acetate,bornyl acetate,thymol,myrtenyl acetate,á-terpinyl acetate,à-cubebene,SQT isomer,copaene,a-bourbonene,SQT isomer,b-elemene,SQT isomer,longifolene,SQT isomer,SQT isomer,SQT isomer,b-caryophyllene,SQT isomer,SQT isomer,SQT isomer,trans-a-bergamotene,aromandendrene,SQT isomer,humulene,SQT isomer,SQT isomer,SQT isomer,a-selinene,a-bulnesene,cadinene isomer,b-bisabolene,SQT isomer,γ-cadinene,δ-cadinene,humulene,cadinene isomer
Engelmann spruce,Duff,3.35E-06,,,7.07E-06,2.67E-06,9.82E-06,,1.33E-05,,,,,6.02E-06,,2.84E-06,5.68E-06,,9.85E-07,,4.60E-06,,,3.79E-05,3.92E-05,4.38E-05,6.39E-05,1.37E-05,9.68E-05,,,5.07E-06,,4.49E-06,,,,,5.44E-06,,,,,1.73E-06,,,,,,4.30E-06,,6.49E-06,,1.91E-06,,,,,,1.66E-06,2.51E-06,,,,,,,,,,4.41E-06,,,,,,,,,,,,,,,7.92E-07,,,,1.07E-05,,,,
Engelmann spruce,canopy,7.74E-06,,1.62E-05,1.65E-04,8.37E-06,4.55E-04,,8.81E-04,,,3.23E-05,,,,6.11E-05,5.44E-05,,,1.72E-05,2.70E-04,,,1.33E-05,3.69E-04,1.17E-05,6.51E-05,1.39E-03,,1.07E-04,,2.45E-05,2.27E-05,1.34E-05,,,,,6.20E-05,,7.66E-06,,,2.75E-05,,,,,,3.69E-04,,2.14E-05,,2.81E-05,,,,,,2.34E-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Engelmann spruce,canopy,,,,,,3.37E-05,,2.93E-05,,,,,,,,5.03E-05,,,,2.53E-05,,,,,,6.82E-06,8.44E-06,1.56E-05,,,,,,,,,,,,,,,,,,,,,4.15E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Engelmann spruce,duff,3.32E-06,,,3.53E-06,,,,9.02E-06,,,,,4.50E-06,,,,,,,1.60E-06,,,4.04E-05,3.57E-05,3.57E-05,9.62E-05,3.15E-05,7.76E-05,,,,,4.38E-06,,,,,7.41E-06,,,,,,,,,,,,,,,6.26E-06,,,,,,,,,,,,,,,,,2.53E-06,,,,,,,,,,,,,,,,,,,5.76E-06,,,,
Engelmann spruce,duff,2.26E-06,,,6.73E-06,5.72E-06,2.56E-05,,1.22E-05,,,,,,,3.92E-06,2.05E-05,,,,4.54E-06,,7.73E-06,,,9.56E-06,4.79E-05,4.83E-05,1.52E-05,,,,,5.88E-06,,,,,3.17E-06,,,,,,,5.87E-06,,,,1.94E-06,,,,,,,,,,4.83E-06,,,,,,,,,,,1.19E-05,,,,,,,,,,,,,,,,,2.21E-06,,7.90E-06,,,,
Engelmann spruce,canopy,,,,1.07E-05,,3.33E-05,,2.86E-05,,,,,,,,1.44E-05,,,,1.28E-05,,,,,,9.42E-06,2.60E-05,9.35E-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.77E-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Engelmann spruce,composite,1.54E-06,,,2.45E-06,,4.44E-05,,5.56E-06,,,,,,,1.10E-06,2.55E-05,,,,1.84E-05,,,1.57E-06,2.60E-06,,1.42E-05,2.53E-05,1.20E-05,,,,,,,,,,,,,,,,,,,,,1.45E-06,,4.76E-06,,,,,,,,5.68E-06,,,,,,,,,,,1.92E-06,,,,,,,,,,,,,,,,,,,,,,,
Engelmann spruce,composite,1.25E-06,,,4.28E-06,,2.22E-05,,2.84E-05,,,2.12E-06,,,,1.05E-06,1.02E-05,,,,2.29E-05,,,1.71E-06,,,2.68E-05,2.97E-05,1.57E-05,,,,,,,,,,,,,,,,,,,,,1.90E-05,,2.14E-06,,1.87E-06,,2.84E-06,,,,3.09E-06,,,,,,,,,,,2.08E-06,,,,,,,,,1.88E-06,,,,,,,,,,,,,,
lodgepole pine,composite,,,,,,,,,,,,,,,2.41E-06,8.23E-05,,,,2.69E-05,,,4.28E-06,4.26E-05,,1.51E-05,1.97E-05,6.50E-05,,,,,2.69E-06,,,,,4.34E-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.84E-06,2.37E-06,,
lodgepole pine,composite,,,4.25E-06,2.85E-06,7.98E-06,6.65E-05,,1.07E-05,3.38E-06,,6.47E-06,,,,4.78E-06,1.21E-04,,2.48E-06,,7.67E-05,,,1.06E-05,5.59E-05,,2.81E-05,8.88E-05,9.66E-05,,,6.22E-06,,1.64E-06,,3.01E-06,,,7.24E-06,1.34E-06,,1.04E-05,,,,,,,,1.05E-06,8.19E-06,1.63E-06,,9.44E-07,1.40E-06,3.87E-06,,,,3.09E-06,,,,3.75E-07,,,,,,,,,,,,,,,,,,,1.26E-06,,,,,1.83E-06,,,,,,3.97E-07
lodgepole pine,canopy,,,,,,3.98E-06,,2.40E-06,,,,,,,1.48E-06,1.03E-04,,,,3.55E-05,,,6.16E-06,1.28E-05,,1.11E-05,1.54E-05,6.22E-05,,,,,,,,,,3.54E-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lodgepole pine,canopy,,,2.93E-06,7.62E-06,2.54E-06,4.96E-05,,1.69E-05,3.30E-06,,1.52E-05,,,,1.28E-05,2.62E-04,,9.34E-06,,1.42E-04,,,2.47E-05,2.16E-04,1.09E-05,6.20E-05,1.21E-04,3.61E-04,,,1.61E-05,3.83E-06,5.06E-06,,1.48E-05,,,2.05E-05,5.17E-06,,,,3.68E-06,,,,,,,5.48E-06,,,,,,,,,6.46E-06,,,,6.92E-07,,,,,,,,,,,,,,,,,2.93E-06,,2.81E-06,,,,,3.61E-06,,,7.38E-06,6.96E-06,,7.39E-07
lodgepole pine,composite,2.47E-06,,,1.57E-05,3.53E-06,3.49E-05,,7.65E-05,,,7.12E-06,,,,8.59E-06,1.85E-04,,,,6.77E-05,,,8.77E-06,8.19E-05,,3.60E-05,1.09E-04,2.25E-04,,,7.43E-06,,1.61E-06,,7.85E-06,,,1.00E-05,3.15E-06,,,,,,,,,,,1.27E-05,5.24E-06,,,,7.66E-06,,,,6.14E-05,5.40E-07,,,5.67E-07,,,,,,,,,,,,,,,,,,,1.39E-06,,,1.15E-06,,2.49E-06,7.31E-07,,4.27E-06,,,
lodgepole pine,composite,,,,1.35E-06,,1.36E-05,,,,,,,,,3.65E-06,6.50E-05,,,,2.93E-05,,,5.35E-06,7.64E-05,,2.52E-05,4.57E-05,1.35E-04,,,,,2.14E-06,,,,,6.53E-06,,,,,,,,,,,,,,,,,,,,,3.30E-06,,,,,,,,,,,,,,,,,,,,,1.90E-06,,,,,,,,,,,,,
